date,seconds,weather,simulation
28.04.2016 18:48,0,13,20
28.04.2016 19:48,3601,12,17.090379
28.04.2016 20:48,7202,12.8,16.736444
28.04.2016 21:48,10803,11,17.116573
28.04.2016 22:48,14404,14,20.719448
28.04.2016 23:48,18005,17.9,27.468307
29.04.2016 00:48,21607,20,32.531228
29.04.2016 02:00,25917,21,35.914522
29.04.2016 03:12,30227,23.8,37.897179
29.04.2016 04:24,34537,25,40.315397
29.04.2016 05:36,38847,27.7,40.471429
29.04.2016 06:48,43158,27,41.039213
29.04.2016 07:48,46760,26,27.880722
29.04.2016 08:48,50362,27,26.742506
29.04.2016 09:48,53964,25,26.797703
29.04.2016 10:48,57567,24,24.441097
29.04.2016 11:48,61169,23.7,23.517921
29.04.2016 12:48,64772,23,23.288661
29.04.2016 14:00,69089,18,22.797661
29.04.2016 15:12,73406,17,20.105678
29.04.2016 16:24,77723,17,19.536045
29.04.2016 17:36,82040,17.8,19.449079
29.04.2016 18:48,86358,15,19.759619
29.04.2016 19:48,89958,15,18.37009
29.04.2016 20:48,93558,15,18.295261
29.04.2016 21:48,97158,14,18.306332
29.04.2016 22:48,100759,17,18.702956
29.04.2016 23:48,104359,21,20.631196
30.04.2016 00:48,107960,23,23.058162
30.04.2016 01:48,111562,26,26.13044
30.04.2016 02:48,115164,27,28.496706
30.04.2016 03:48,118766,27,29.356814
30.04.2016 04:48,122368,26,29.360664
30.04.2016 05:48,125970,26,28.534809
30.04.2016 06:48,129573,26,28.144864
30.04.2016 07:48,133178,25,40.831267
30.04.2016 08:48,136784,24,32.371757
30.04.2016 09:48,140389,20,27.794992
30.04.2016 10:48,143995,18,21.55912
30.04.2016 11:48,147600,17,20.69939
30.04.2016 12:48,151206,15,20.215867
30.04.2016 14:00,155517,15,19.243254
30.04.2016 15:12,159829,15,19.228056
30.04.2016 16:24,164140,15,19.112832
30.04.2016 17:36,168452,14,19.032463
30.04.2016 18:48,172764,14,18.489998
30.04.2016 19:53,176690,13,18.47718
30.04.2016 20:59,180617,14,17.928316
30.04.2016 22:04,184544,15,23.130656
30.04.2016 23:09,188470,18,27.049147
01.05.2016 00:15,192397,21,32.849777
01.05.2016 01:20,196324,23,36.504738
01.05.2016 02:26,200251,24,39.25936
01.05.2016 03:31,204177,27,40.340496
01.05.2016 04:37,208104,27,42.265181
01.05.2016 05:42,212031,27,41.09375
01.05.2016 06:48,215958,26,39.397612
01.05.2016 07:48,219559,25,36.741499
01.05.2016 08:48,223160,23,33.084258
01.05.2016 09:48,226761,21,27.473821
01.05.2016 10:48,230363,20,22.833634
01.05.2016 11:48,233964,20,22.371031
01.05.2016 12:48,237565,20,22.296026
01.05.2016 13:48,241167,20,22.193858
01.05.2016 14:48,244768,20,22.112441
01.05.2016 15:48,248369,20,22.040515
01.05.2016 16:48,251971,20,21.975145
01.05.2016 17:48,255572,20,21.916616
01.05.2016 18:48,259174,20,21.866005
01.05.2016 19:48,262778,20,21.816971
01.05.2016 20:48,266382,20,21.772945
01.05.2016 21:48,269986,20,23.258729
01.05.2016 22:48,273590,22,29.827578
01.05.2016 23:48,277194,22,33.884719
02.05.2016 00:48,280799,23,36.342598
02.05.2016 02:00,285111,23,39.570414
02.05.2016 03:12,289423,21,40.044345
02.05.2016 04:24,293735,21,39.421584
02.05.2016 05:36,298047,24,38.692766
02.05.2016 06:48,302359,23,38.738547
02.05.2016 08:00,306678,22,34.606142
02.05.2016 09:12,310998,21,29.924603
02.05.2016 10:24,315318,21,23.590211
02.05.2016 11:36,319638,21,23.406403
02.05.2016 12:48,323958,21,23.247264
02.05.2016 13:48,327559,21,23.161572
02.05.2016 14:48,331161,21,23.082451
02.05.2016 15:48,334762,21,23.012234
02.05.2016 16:48,338364,21,22.950948
02.05.2016 17:48,341966,21,22.895985
02.05.2016 18:48,345568,21,22.842787
02.05.2016 20:00,349886,19,22.785911
02.05.2016 21:12,354204,18,21.845396
02.05.2016 22:24,358522,18,27.524915
02.05.2016 23:36,362840,20,31.084867
03.05.2016 00:48,367158,21,36.220711
03.05.2016 01:48,370760,22,37.819785
03.05.2016 02:48,374362,23,39.913756
03.05.2016 03:48,377964,24,40.939028
03.05.2016 04:48,381567,25,41.308259
03.05.2016 05:48,385169,25,41.004942
03.05.2016 06:48,388772,26,39.271895
03.05.2016 07:48,392373,25,37.895526
03.05.2016 08:48,395974,25,33.942986
03.05.2016 09:48,399575,24,29.568714
03.05.2016 10:48,403177,23,25.252765
03.05.2016 11:48,406778,22,24.739439
03.05.2016 12:48,410379,20,24.207747
03.05.2016 13:48,413981,19,23.25113
03.05.2016 14:48,417582,18,22.769516
03.05.2016 15:48,421183,17,22.249902
03.05.2016 16:48,424785,14,21.737551
03.05.2016 17:48,428386,15,20.309239
03.05.2016 18:48,431988,15,20.874165
03.05.2016 20:00,436302,16,20.596151
